No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
42,FOX,-3.72%,-1.45%,-3.29%,-19.67%,-10.49%,-10.85%,2.17%,2.07%,-,1.03M,0.71,30.92,1.21%,"322,463"
43,PENN,-3.95%,-9.63%,-8.86%,-24.57%,-62.20%,-40.48%,4.53%,4.34%,2.10,3.25M,0.79,31.32,1.49%,"1,125,022"
44,XRAY,-6.11%,-15.69%,-23.18%,-39.69%,-50.25%,-44.33%,2.80%,2.42%,2.50,1.93M,0.59,31.49,1.37%,"493,065"
45,SYF,-5.29%,-8.55%,-13.38%,-10.82%,-34.57%,-33.18%,3.19%,2.65%,2.30,5.78M,0.47,31.54,1.74%,"1,198,659"
46,DAL,-2.62%,-5.31%,-20.03%,3.59%,-22.51%,-20.19%,3.43%,2.71%,1.80,12.43M,0.66,31.60,1.31%,"3,604,254"
47,CSX,-3.76%,-4.89%,-2.02%,-14.91%,-1.59%,-16.25%,2.32%,1.87%,2.10,14.79M,0.77,31.73,0.75%,"4,980,401"
48,CNP,-1.22%,0.73%,0.51%,10.34%,22.21%,13.58%,1.95%,1.73%,1.90,3.68M,0.47,32.28,1.83%,"763,284"
49,MGM,-2.90%,-5.59%,-7.19%,-12.57%,-22.97%,-26.98%,3.92%,3.11%,2.10,5.12M,0.54,33.11,1.04%,"1,208,955"
50,WMB,-5.87%,2.95%,-11.33%,-0.69%,32.84%,27.38%,2.26%,1.96%,2.10,7.93M,0.85,33.15,-0.05%,"2,936,765"
51,GLW,-4.57%,-8.41%,-8.64%,-12.07%,-16.97%,-11.93%,2.48%,2.06%,2.00,4.58M,0.70,33.18,1.19%,"1,406,022"
52,VICI,-1.07%,-3.72%,2.22%,23.86%,3.56%,10.16%,2.08%,1.51%,1.70,12.06M,0.17,33.32,0.45%,"908,039"
53,FOXA,-3.93%,-1.08%,-3.26%,-20.75%,-10.63%,-10.65%,2.17%,2.20%,2.50,2.21M,0.56,33.42,1.36%,"541,423"
54,BAC,-2.48%,-2.65%,-8.55%,-13.77%,-19.46%,-25.69%,2.82%,2.19%,2.20,41.45M,0.85,33.42,1.09%,"15,469,194"
55,WY,-3.65%,-4.44%,-13.82%,-12.76%,-3.77%,-15.58%,2.07%,1.82%,2.20,3.92M,0.42,33.64,0.24%,"715,781"
56,FITB,-3.37%,-4.04%,-15.67%,-20.75%,-13.61%,-23.61%,2.63%,2.19%,2.00,4.35M,0.47,33.72,1.34%,"900,536"
57,TPR,-4.53%,-1.61%,-3.15%,4.39%,-17.35%,-17.41%,3.61%,3.31%,1.90,3.48M,0.55,33.76,0.70%,"838,787"
58,CAG,-3.42%,-1.71%,5.06%,0.42%,1.05%,-0.91%,1.85%,1.58%,2.70,3.60M,0.36,34.35,1.51%,"568,765"
59,HWM,-5.11%,-6.29%,-5.24%,7.13%,10.71%,9.11%,2.69%,1.99%,1.90,2.78M,0.63,34.85,0.35%,"766,171"
60,CMCSA,-4.27%,-9.22%,-17.83%,-24.97%,-43.71%,-30.98%,2.79%,2.29%,2.30,22.92M,1.35,34.99,0.71%,"13,574,211"
62,WBA,-1.78%,-9.41%,-18.60%,-24.84%,-31.14%,-32.29%,2.33%,2.32%,3.10,6.60M,0.86,35.91,1.67%,"2,483,404"
63,CFG,-2.91%,-4.03%,-12.07%,-21.40%,-17.09%,-24.42%,2.50%,2.13%,2.00,4.28M,0.86,35.92,0.59%,"1,612,968"
64,LVS,-6.44%,-7.61%,-0.14%,-1.80%,-17.81%,-5.82%,4.08%,3.39%,2.20,6.13M,0.33,35.95,1.41%,"889,666"
65,APA,-8.56%,19.12%,-22.10%,-0.26%,92.27%,40.65%,4.85%,4.80%,2.30,8.14M,0.79,36.70,-2.96%,"2,816,866"
66,SLB,-7.48%,7.79%,-20.88%,-11.26%,33.00%,24.74%,3.89%,3.41%,-,13.14M,0.82,36.77,-1.58%,"4,700,557"
67,KHC,-1.73%,-0.37%,2.02%,-6.77%,4.47%,4.26%,2.28%,1.66%,2.70,7.35M,1.48,37.16,-0.72%,"4,766,835"
68,BWA,-4.61%,-3.78%,-9.08%,4.05%,-15.53%,-19.15%,2.60%,2.33%,2.40,1.82M,0.74,37.24,2.18%,"583,429"
69,LUV,-1.84%,-5.33%,-17.29%,-1.21%,-24.81%,-14.24%,2.59%,2.37%,1.90,5.63M,0.56,37.29,1.50%,"1,381,318"
70,UAL,1.55%,-3.28%,-18.28%,17.24%,-20.86%,-16.45%,3.80%,3.15%,2.60,10.41M,1.04,37.38,2.17%,"4,751,270"
71,BBWI,-0.85%,-0.13%,0.24%,-18.00%,-43.12%,-46.54%,4.73%,4.61%,-,4.95M,0.35,37.82,1.37%,"752,254"
72,KDP,-3.17%,-2.97%,2.37%,-1.49%,6.61%,1.93%,1.82%,1.66%,2.30,9.78M,0.32,38.03,1.24%,"1,376,225"
73,GM,-2.02%,7.35%,2.33%,-2.81%,-20.71%,-33.98%,3.02%,3.02%,2.00,14.77M,0.97,39.30,1.52%,"6,279,188"
74,WRK,-4.34%,-1.79%,-18.77%,-4.91%,-24.96%,-11.02%,2.80%,2.46%,2.50,1.68M,0.70,39.83,0.91%,"516,623"
75,PHM,-2.69%,-6.06%,-11.77%,-13.96%,-25.44%,-30.35%,2.82%,2.88%,2.40,2.42M,0.59,40.18,0.93%,"629,123"
76,WDC,-8.47%,-13.00%,-31.40%,-12.10%,-33.28%,-37.17%,3.43%,3.14%,2.00,3.45M,1.09,40.63,-0.83%,"1,645,610"
77,CARR,1.41%,-3.77%,1.84%,-7.40%,-29.80%,-25.70%,2.52%,2.08%,2.40,4.53M,0.42,40.64,0.84%,"823,055"
78,TWTR,-3.47%,-9.10%,-2.30%,19.22%,-40.23%,-10.57%,2.44%,2.33%,3.00,14.05M,1.27,40.68,5.26%,"7,793,504"
79,IP,-4.32%,-3.49%,-14.66%,-1.59%,-29.46%,-14.15%,2.26%,1.79%,2.90,2.80M,0.50,40.74,1.02%,"606,870"
80,FE,-1.14%,3.52%,-5.04%,-10.88%,0.33%,-4.50%,2.01%,1.80%,2.50,3.67M,0.45,40.83,2.79%,"728,790"
82,NRG,-1.69%,6.06%,-11.77%,7.31%,-10.21%,-5.32%,2.11%,2.19%,2.60,3.00M,0.57,41.28,1.20%,"747,751"
83,VFC,-2.85%,-11.87%,-19.45%,-22.27%,-47.20%,-45.03%,2.74%,2.76%,2.50,3.11M,0.82,41.31,2.63%,"1,119,552"
84,VZ,-5.15%,-8.57%,-19.79%,-24.84%,-25.85%,-20.90%,1.81%,1.34%,2.90,19.91M,0.76,41.33,0.57%,"6,611,713"
85,BK,-1.48%,-5.43%,-10.47%,-17.74%,-23.72%,-29.17%,2.32%,1.97%,2.60,3.51M,1.12,41.97,2.02%,"1,722,378"
86,NEM,-2.57%,-6.83%,-38.54%,-46.42%,-30.10%,-32.75%,2.89%,2.62%,2.00,8.96M,0.85,42.32,1.46%,"3,320,632"
87,RCL,-0.85%,5.44%,-26.36%,-33.90%,-47.34%,-45.60%,6.06%,5.29%,2.40,7.50M,0.64,42.86,2.46%,"2,083,835"
88,WFC,-2.37%,-2.01%,-4.96%,-6.40%,-2.92%,-10.63%,2.77%,2.12%,2.00,18.59M,0.58,43.33,1.05%,"4,712,552"
89,EBAY,-3.19%,-8.97%,-9.71%,-21.53%,-43.76%,-35.28%,2.77%,2.71%,2.60,5.81M,0.66,44.33,2.99%,"1,667,136"
90,MO,-2.49%,1.07%,-16.83%,-15.67%,-12.56%,-5.95%,2.02%,1.35%,2.60,10.60M,0.79,44.38,-0.43%,"3,662,257"
91,CZR,-1.22%,-8.54%,-16.70%,-37.39%,-57.90%,-53.38%,5.28%,4.57%,2.00,3.54M,0.46,44.39,1.81%,"716,097"
92,PNR,-2.68%,-10.65%,-13.78%,-19.55%,-43.66%,-39.93%,2.35%,2.37%,2.70,1.34M,0.67,44.52,1.48%,"390,492"
93,CSCO,-2.71%,-1.20%,-1.90%,-20.00%,-25.16%,-29.82%,2.50%,1.78%,2.50,20.04M,0.50,44.77,0.67%,"4,394,848"
94,EXC,-2.47%,-1.97%,-9.60%,0.14%,23.55%,6.56%,2.41%,1.86%,2.20,6.20M,1.18,45.05,2.64%,"3,198,455"
95,ALK,-1.66%,-5.69%,-10.13%,0.48%,-23.13%,-15.74%,3.07%,2.56%,1.90,1.52M,1.04,45.21,2.98%,"690,367"
96,USB,-1.69%,-4.37%,-13.26%,-14.65%,-19.29%,-19.32%,2.07%,1.71%,2.60,6.35M,0.63,45.69,0.82%,"1,754,065"
97,PFE,-1.02%,-7.12%,-14.08%,-4.63%,-2.31%,-22.51%,2.38%,1.93%,2.30,18.72M,0.83,45.74,-0.05%,"6,808,689"
98,UDR,1.27%,-1.45%,-0.71%,-20.00%,-16.78%,-23.19%,2.24%,1.97%,2.20,1.99M,0.56,46.49,0.89%,"491,479"
