No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
180,PNW,-2.11%,-1.18%,-4.57%,-1.11%,-3.43%,5.58%,1.82%,1.50%,3.50,821.46K,0.32,75.97,1.93%,"113,265"
182,WELL,-0.81%,-5.45%,-12.46%,-12.24%,-12.07%,-11.06%,1.84%,1.98%,2.00,2.29M,0.39,76.58,0.40%,"394,488"
183,LEN,-4.21%,-9.67%,-5.58%,-8.07%,-27.53%,-34.11%,2.97%,2.76%,2.30,2.82M,0.39,77.06,0.68%,"476,737"
184,RHI,-0.48%,-2.23%,-15.04%,-30.26%,-25.62%,-30.86%,2.61%,2.38%,3.10,962.52K,0.35,77.09,-0.01%,"148,511"
185,ATVI,-2.43%,-4.53%,-1.22%,-4.61%,-5.35%,15.50%,1.07%,0.93%,2.30,4.64M,0.59,77.29,0.59%,"1,204,155"
186,CBRE,-3.12%,-8.36%,-4.68%,-11.00%,-21.93%,-29.08%,2.51%,2.02%,1.90,1.76M,0.35,77.42,0.61%,"269,444"
187,HAS,-2.82%,-0.36%,-12.35%,-12.90%,-21.87%,-23.73%,2.27%,2.13%,1.90,1.01M,0.90,77.91,0.36%,"399,657"
188,CL,-2.29%,-3.31%,-1.28%,1.42%,-0.18%,-8.87%,2.23%,1.49%,2.80,4.35M,0.59,78.11,0.44%,"1,125,208"
189,AMD,-11.04%,-23.06%,-25.49%,-23.54%,-28.38%,-45.30%,4.53%,3.98%,2.10,83.91M,0.94,78.89,0.21%,"34,592,161"
190,SO,-1.14%,0.66%,3.22%,12.35%,17.37%,13.41%,1.99%,1.43%,2.70,4.29M,1.09,79.23,1.87%,"2,049,480"
191,LW,-3.02%,-4.02%,13.06%,48.13%,22.66%,23.05%,2.23%,1.71%,1.70,1.32M,0.35,79.58,2.05%,"202,832"
192,LYB,-6.14%,-5.89%,-26.64%,-10.98%,-11.86%,-8.51%,2.65%,2.18%,2.70,2.22M,0.66,80.72,0.19%,"643,412"
193,CHD,-5.97%,-7.78%,-9.01%,-21.12%,-4.93%,-21.73%,2.16%,1.43%,2.90,1.53M,0.73,81.05,1.02%,"486,056"
194,SYY,-3.19%,-6.75%,-5.06%,3.45%,3.98%,2.39%,1.92%,2.12%,2.30,2.23M,0.40,81.48,1.31%,"388,796"
195,CMA,-1.09%,2.30%,-2.19%,-5.34%,10.62%,-8.06%,2.49%,1.88%,2.20,1.00M,0.49,81.72,2.16%,"214,454"
196,EMR,-3.90%,-9.82%,-9.68%,-11.05%,-22.65%,-12.33%,2.36%,1.93%,2.20,2.71M,1.14,81.79,0.34%,"1,355,993"
197,BXP,0.75%,-6.42%,-23.04%,-33.09%,-28.85%,-29.65%,2.16%,1.99%,2.40,1.20M,0.86,81.81,0.96%,"450,637"
198,CEG,1.56%,10.71%,23.90%,59.26%,-,95.86%,2.88%,2.78%,2.00,2.53M,0.60,82.17,-0.11%,"669,337"
199,D,-2.52%,-1.30%,-1.49%,-2.22%,3.98%,3.74%,1.77%,1.62%,2.30,3.05M,0.86,82.98,1.82%,"1,152,682"
200,MKC,-4.27%,-6.94%,-8.39%,-21.01%,-6.68%,-14.92%,2.26%,1.73%,3.10,1.12M,0.65,83.71,1.84%,"315,262"
202,DXCM,-1.62%,-7.92%,10.73%,-22.03%,-39.51%,-38.89%,3.81%,3.69%,1.60,2.80M,0.53,85.75,4.53%,"652,248"
203,MDT,-3.05%,-7.59%,-9.73%,-19.17%,-35.97%,-16.67%,2.21%,1.83%,2.20,5.35M,1.86,86.19,-0.01%,"4,359,445"
204,PSX,-6.91%,3.58%,-18.17%,5.04%,24.62%,19.74%,3.50%,3.00%,2.00,3.63M,0.64,86.20,-0.65%,"1,017,260"
205,ADM,-5.58%,3.55%,-3.07%,2.06%,42.36%,26.79%,2.74%,2.11%,2.20,2.92M,0.82,86.29,0.69%,"1,050,333"
206,SWK,-5.16%,-11.12%,-29.11%,-44.09%,-55.36%,-54.78%,2.89%,3.31%,2.50,1.90M,0.41,86.40,1.29%,"344,278"
207,RTX,-5.38%,-6.31%,-10.34%,-11.23%,4.20%,1.28%,2.27%,1.92%,2.00,4.40M,1.37,86.43,-0.84%,"2,645,655"
208,MS,-0.26%,-1.16%,0.31%,2.01%,-18.34%,-13.27%,3.26%,2.06%,-,7.79M,0.85,86.52,1.63%,"2,911,520"
209,MRK,-1.34%,-1.13%,-3.81%,11.18%,11.86%,12.76%,1.88%,1.84%,2.20,9.72M,0.50,86.60,0.20%,"2,130,994"
210,SBUX,0.48%,-1.41%,7.01%,0.07%,-27.88%,-27.74%,2.94%,2.00%,2.40,6.71M,1.09,87.10,3.05%,"3,206,504"
211,KMX,-6.14%,-14.16%,-12.70%,-14.88%,-33.05%,-34.63%,3.36%,3.12%,2.00,1.34M,0.86,87.18,2.41%,"505,140"
212,WAB,-3.09%,-8.20%,-7.63%,-2.88%,-3.23%,-5.20%,2.28%,1.89%,2.40,858.72K,0.46,87.63,0.36%,"173,747"
213,PCAR,-2.31%,-4.72%,-2.04%,4.38%,4.62%,-1.62%,1.81%,1.53%,2.40,1.75M,0.67,87.79,1.11%,"512,770"
214,GRMN,-3.07%,-10.05%,-16.08%,-19.19%,-50.15%,-35.53%,2.43%,2.13%,-,1.00M,0.86,89.06,1.45%,"375,191"
215,CNC,-3.40%,-5.07%,6.11%,5.80%,37.22%,7.20%,3.03%,2.17%,1.90,2.89M,0.70,89.06,0.83%,"879,974"
216,NEE,0.40%,-0.69%,8.95%,3.79%,1.96%,-6.42%,2.13%,1.67%,2.10,7.75M,1.13,89.24,2.14%,"3,811,837"
217,DVA,-0.78%,3.01%,-7.89%,-19.38%,-33.22%,-22.42%,3.10%,2.58%,3.10,977.19K,0.39,89.32,1.20%,"164,956"
218,MNST,0.00%,-3.05%,-3.03%,18.12%,-9.21%,-7.76%,2.05%,1.81%,2.20,2.77M,0.40,89.44,0.96%,"480,180"
219,FIS,-3.95%,-8.19%,-15.10%,2.63%,-28.70%,-18.09%,2.36%,2.11%,1.90,3.32M,0.97,89.64,0.27%,"1,405,096"
220,QRVO,-5.33%,-16.30%,-19.15%,-28.20%,-52.09%,-43.22%,3.53%,3.44%,2.70,1.32M,0.39,89.81,1.14%,"224,509"
222,LYV,-3.24%,-8.09%,-6.55%,-11.34%,3.31%,-25.70%,2.80%,2.45%,2.10,1.37M,0.57,89.87,1.06%,"340,571"
223,AKAM,-3.42%,-7.92%,-11.92%,-20.86%,-22.10%,-24.26%,2.66%,2.44%,2.30,1.55M,0.50,89.96,1.47%,"342,501"
224,ROST,-0.28%,2.96%,6.63%,1.88%,-24.84%,-24.12%,2.73%,3.01%,2.30,2.90M,0.60,90.21,4.03%,"756,039"
225,EMN,-5.63%,-5.73%,-19.48%,-14.81%,-20.33%,-25.83%,3.19%,2.26%,2.40,993.47K,0.73,90.24,0.62%,"317,670"
226,EW,-1.44%,-16.08%,-7.62%,-17.80%,-26.44%,-31.25%,2.55%,2.40%,2.00,2.49M,0.97,90.58,1.71%,"1,054,643"
227,RL,-3.90%,-10.70%,-15.43%,-12.13%,-22.06%,-24.70%,3.43%,3.60%,2.60,956.49K,0.52,90.64,1.27%,"216,897"
228,ES,-2.98%,-1.36%,-3.39%,2.87%,-3.09%,-2.01%,2.17%,1.52%,2.60,1.41M,1.13,90.88,1.94%,"700,254"
229,AMAT,-6.47%,-17.63%,-21.49%,-24.27%,-33.53%,-42.62%,3.41%,3.65%,2.00,7.36M,0.53,91.47,1.31%,"1,698,765"
230,CTLT,-3.59%,-19.53%,-20.01%,-9.72%,-36.61%,-30.51%,3.20%,3.15%,1.70,1.12M,1.24,91.53,2.88%,"608,568"
231,PYPL,-1.13%,-3.89%,5.54%,-2.13%,-68.31%,-51.42%,3.49%,3.06%,2.10,14.25M,0.52,93.64,2.21%,"3,269,672"
232,XOM,-5.16%,7.35%,-3.94%,8.99%,73.05%,55.17%,2.67%,2.47%,2.40,23.49M,0.64,93.89,-1.12%,"6,565,195"
233,PM,-2.22%,-3.59%,-11.54%,0.97%,-11.31%,-0.95%,2.00%,1.58%,2.40,4.47M,0.34,93.99,-0.12%,"660,498"
234,LDOS,-3.73%,-6.91%,-11.63%,-12.41%,-5.47%,5.29%,1.91%,1.72%,2.10,703.37K,1.05,94.16,0.60%,"323,822"
235,XYL,0.49%,-4.85%,7.97%,10.94%,-32.60%,-22.87%,2.45%,2.02%,2.70,949.31K,0.48,94.19,1.83%,"201,266"
236,AEE,-3.18%,1.01%,-1.00%,2.96%,4.66%,3.61%,1.95%,1.49%,2.20,1.35M,0.71,94.46,2.43%,"415,445"
237,PRU,-3.88%,-2.41%,-10.59%,-7.71%,-10.21%,-12.99%,2.30%,1.80%,3.10,1.66M,0.64,95.05,0.92%,"464,035"
238,NTRS,-1.46%,-5.95%,-14.81%,-9.77%,-19.97%,-21.48%,2.25%,1.87%,2.50,937.62K,1.09,95.53,1.71%,"448,980"
239,ALLE,-2.15%,-7.42%,-15.56%,-17.51%,-36.11%,-28.54%,2.63%,2.33%,2.60,659.45K,0.85,96.38,1.83%,"245,789"
240,MPC,-6.23%,9.13%,-9.99%,32.09%,69.06%,53.87%,3.18%,2.51%,1.90,6.10M,0.62,97.80,-0.67%,"1,646,413"
242,GL,-0.47%,-0.41%,-0.25%,3.44%,3.38%,4.01%,1.65%,1.44%,2.70,496.98K,0.38,98.29,0.83%,"81,765"
243,DFS,-3.48%,-4.75%,-12.17%,-3.81%,-20.73%,-15.64%,2.67%,2.25%,2.20,1.85M,0.42,98.65,1.19%,"338,724"
244,SWKS,-3.15%,-13.32%,-8.60%,-24.17%,-46.64%,-37.06%,3.40%,3.01%,2.50,1.90M,0.36,98.67,1.04%,"301,484"
245,UHS,-5.01%,-12.80%,-20.58%,-36.03%,-38.40%,-25.78%,2.62%,2.14%,2.90,835.94K,0.41,98.93,2.81%,"148,567"
246,ED,-1.47%,0.58%,-0.36%,8.44%,28.11%,14.57%,1.92%,1.46%,3.40,1.61M,0.58,100.39,2.70%,"406,987"
247,CVS,-1.59%,-3.45%,3.14%,-5.58%,12.87%,-4.29%,2.14%,1.75%,2.10,4.78M,0.90,100.57,1.86%,"1,885,756"
248,EXPD,-2.95%,-2.84%,-8.24%,0.80%,-18.60%,-25.09%,2.30%,1.97%,3.10,1.20M,0.92,100.72,0.13%,"483,350"
249,ICE,-1.65%,-4.87%,-0.94%,-24.53%,-17.52%,-26.95%,2.28%,2.00%,2.10,2.71M,0.62,100.99,1.08%,"740,962"
250,CF,-9.19%,2.87%,9.13%,7.56%,126.55%,45.41%,4.33%,3.48%,2.60,3.01M,0.69,101.22,-1.65%,"903,923"
251,EXPE,-2.41%,-1.63%,-24.37%,-35.77%,-29.30%,-44.20%,3.68%,3.50%,2.50,2.82M,0.43,101.71,0.85%,"527,635"
252,SPG,-2.52%,-5.13%,-7.83%,-21.23%,-25.57%,-36.76%,2.82%,2.23%,2.30,1.92M,0.65,101.75,0.70%,"548,900"
253,FRT,-0.42%,-2.42%,-6.59%,-11.13%,-16.01%,-24.30%,2.29%,1.78%,2.40,571.73K,0.63,103.31,0.12%,"157,926"
254,CTXS,0.53%,0.26%,3.45%,1.52%,0.02%,8.65%,0.63%,0.50%,2.80,1.03M,2.48,103.45,0.66%,"1,119,573"
255,COF,-4.69%,-3.91%,-18.71%,-18.13%,-35.03%,-29.58%,2.93%,2.47%,2.30,2.60M,0.62,103.77,1.57%,"706,830"
256,AEP,-1.33%,2.11%,-0.49%,4.42%,12.33%,14.15%,2.34%,1.71%,2.20,2.60M,1.10,103.91,2.31%,"1,255,517"
257,ABT,0.85%,-5.99%,-11.78%,-13.59%,-20.34%,-27.02%,2.07%,1.68%,2.00,4.64M,0.83,103.99,1.25%,"1,677,793"
258,RJF,-2.06%,1.08%,6.20%,9.08%,11.55%,2.99%,2.30%,1.73%,1.90,1.00M,0.28,104.81,1.36%,"120,897"
259,FISV,0.96%,-1.81%,3.86%,9.73%,-9.94%,0.36%,2.86%,2.05%,2.10,3.33M,0.98,104.85,0.66%,"1,427,035"
260,WEC,-2.02%,-0.06%,-1.20%,7.97%,7.26%,6.17%,2.03%,1.49%,2.60,1.27M,0.72,105.33,2.20%,"399,051"
262,COP,-4.22%,17.00%,-6.74%,8.42%,95.78%,52.12%,3.20%,3.00%,1.90,7.76M,0.83,106.58,-1.89%,"2,807,474"
263,ETSY,-0.63%,-5.05%,23.89%,-24.46%,-52.87%,-52.56%,5.21%,4.68%,2.20,3.75M,0.63,106.62,2.66%,"1,037,633"
264,ZBH,-2.50%,-7.35%,-11.38%,-10.07%,-26.29%,-14.86%,2.24%,1.86%,2.70,1.08M,0.45,106.98,1.95%,"213,808"
265,FMC,-7.07%,-1.22%,-12.82%,-11.67%,10.23%,-4.42%,2.72%,2.32%,2.30,748.74K,0.43,107.42,2.28%,"139,732"
266,CE,-7.55%,-4.08%,-33.24%,-20.42%,-31.46%,-36.73%,3.23%,2.69%,2.40,1.11M,0.68,108.31,1.86%,"327,432"
267,GOOGL,-2.39%,-9.07%,-8.57%,-15.48%,-25.69%,-26.26%,2.65%,2.17%,1.80,32.06M,0.68,108.50,1.58%,"9,566,956"
268,MHK,-3.06%,-11.52%,-25.07%,-14.23%,-45.30%,-41.73%,3.07%,2.99%,3.10,565.81K,0.68,109.00,2.69%,"168,681"
269,DUK,-2.23%,-2.20%,-3.92%,0.06%,1.02%,1.77%,1.90%,1.46%,2.50,2.51M,0.71,109.04,2.14%,"779,483"
270,GOOG,-2.59%,-9.08%,-8.14%,-15.01%,-25.76%,-25.71%,2.63%,2.16%,1.50,26.29M,0.88,109.48,1.86%,"10,114,783"
271,DIS,-3.03%,3.24%,2.10%,-17.54%,-39.18%,-28.92%,2.55%,2.48%,2.00,11.47M,0.55,111.46,1.24%,"2,744,728"
272,IFF,-2.92%,-13.42%,-17.24%,-5.52%,-27.29%,-27.16%,2.50%,2.42%,-,1.16M,0.52,111.74,1.83%,"263,287"
273,VLO,-8.62%,7.42%,-18.68%,34.25%,74.31%,50.15%,3.82%,3.37%,2.00,5.05M,0.58,112.46,-0.28%,"1,273,299"
274,CHRW,-1.85%,2.88%,3.26%,7.39%,25.32%,4.90%,2.11%,2.18%,2.70,1.22M,0.69,112.92,0.02%,"366,795"
275,YUM,0.31%,-4.95%,-5.71%,-0.65%,-14.02%,-18.94%,2.17%,1.74%,2.40,1.52M,0.83,114.61,1.82%,"551,704"
276,JPM,-0.57%,-1.74%,-12.33%,-11.97%,-28.69%,-28.17%,2.41%,2.07%,2.30,12.03M,0.62,115.07,1.17%,"3,274,056"
277,PTC,0.17%,-4.65%,-3.17%,9.39%,-13.75%,-5.32%,2.44%,2.12%,1.90,732.27K,0.57,115.69,0.85%,"183,646"
278,ATO,-1.85%,0.28%,-2.18%,-1.55%,17.14%,9.01%,1.92%,1.43%,2.40,895.78K,0.40,116.15,1.70%,"155,538"
279,ETR,-3.18%,-1.79%,-4.71%,3.37%,2.73%,2.65%,2.20%,1.65%,2.10,1.07M,0.49,117.45,1.58%,"230,412"
280,CPRT,-3.73%,-9.87%,1.33%,6.22%,-20.03%,-23.19%,2.50%,1.99%,1.60,1.00M,0.54,117.49,0.88%,"238,262"
282,HES,-5.66%,16.09%,-5.66%,22.98%,70.85%,61.34%,3.32%,3.09%,2.20,2.09M,0.73,118.29,-0.96%,"667,349"
283,ANET,-3.31%,-7.21%,13.56%,2.71%,29.49%,-18.23%,3.17%,2.40%,2.30,1.87M,0.48,118.57,0.87%,"392,730"
284,TTWO,-2.74%,-6.00%,-5.87%,-24.35%,-25.55%,-32.74%,2.71%,3.23%,1.90,2.06M,0.44,119.63,0.08%,"397,562"
285,MMM,-7.78%,-20.90%,-20.25%,-18.62%,-40.02%,-34.36%,3.48%,2.50%,3.30,7.97M,2.66,119.83,2.77%,"9,257,448"
286,TROW,-0.29%,-5.10%,-5.31%,-11.75%,-45.71%,-39.66%,2.69%,2.49%,3.40,1.55M,0.90,120.10,1.21%,"609,845"
287,DLR,-3.77%,-7.86%,-11.57%,-12.36%,-28.82%,-32.55%,2.62%,2.29%,2.10,1.52M,0.38,120.38,0.91%,"250,925"
288,J,-6.52%,-5.95%,-11.73%,-2.40%,-12.54%,-13.88%,3.05%,2.28%,1.70,500.72K,0.40,120.46,0.45%,"87,752"
289,AME,-2.00%,-5.34%,-2.39%,-7.71%,-11.74%,-18.72%,2.30%,1.67%,2.10,1.00M,0.59,120.75,1.04%,"260,009"
290,PAYX,-4.33%,-6.13%,-3.43%,-0.65%,7.05%,-10.91%,2.60%,1.86%,2.90,1.63M,0.52,122.95,1.10%,"368,703"
291,CBOE,0.96%,0.84%,5.74%,4.35%,-3.77%,-6.83%,2.51%,2.23%,2.50,611.82K,0.47,123.42,1.59%,"124,780"
292,ALL,-2.10%,3.84%,-8.21%,-2.94%,-9.32%,3.26%,1.97%,2.01%,2.40,1.77M,0.52,123.76,1.87%,"402,507"
293,TEL,-2.49%,-7.54%,-6.70%,-3.60%,-17.75%,-23.70%,2.36%,1.94%,-,1.44M,0.52,125.07,1.60%,"326,596"
294,PLD,-2.74%,-5.78%,-3.18%,-16.86%,-10.93%,-26.47%,2.62%,2.07%,2.10,3.34M,0.57,125.20,1.13%,"837,992"
295,PGR,-2.03%,3.55%,2.01%,14.98%,29.16%,19.32%,1.82%,1.53%,3.00,2.67M,0.82,125.43,2.41%,"961,859"
296,EA,-3.76%,-5.91%,-11.13%,-1.21%,-14.92%,-5.44%,2.12%,2.00%,2.00,2.02M,0.96,125.48,0.60%,"850,156"
297,PPG,-1.79%,-2.88%,-2.71%,8.03%,-20.54%,-28.27%,2.56%,2.28%,2.30,1.32M,0.53,125.90,1.79%,"303,805"
298,DRI,-1.19%,-0.30%,-2.15%,4.60%,-16.78%,-18.21%,2.84%,2.35%,2.10,1.19M,0.50,126.30,2.51%,"259,334"
299,IBM,-2.75%,-4.35%,-11.31%,0.52%,-4.95%,-5.19%,1.60%,1.51%,2.70,4.86M,0.35,127.06,0.26%,"742,426"
300,DGX,-1.00%,-10.05%,-7.71%,-7.88%,-19.55%,-27.54%,1.71%,1.87%,2.50,826.89K,0.73,127.14,1.41%,"262,521"
302,AMZN,-2.84%,-10.43%,1.06%,-8.25%,-27.48%,-24.36%,3.55%,2.87%,1.80,63.07M,0.62,127.64,1.21%,"17,217,212"
303,QCOM,-7.59%,-15.67%,-9.80%,-15.61%,-12.42%,-30.73%,3.21%,3.10%,2.00,8.23M,0.44,127.85,0.93%,"1,594,797"
304,GPN,1.21%,-1.30%,-2.20%,3.00%,-20.05%,-6.55%,2.41%,2.11%,1.90,1.73M,1.26,128.37,1.61%,"951,882"
305,DOV,0.69%,-4.27%,-3.66%,-12.63%,-26.65%,-29.34%,2.29%,1.89%,2.20,915.44K,1.48,128.67,0.28%,"594,148"
306,HLT,-2.01%,-2.65%,-12.15%,-1.72%,3.08%,-18.67%,3.03%,2.15%,2.30,1.99M,0.48,128.95,1.64%,"416,753"
307,CPT,-1.81%,-5.24%,-6.97%,-23.56%,-15.22%,-27.19%,2.68%,1.91%,2.10,766.63K,0.57,129.80,-0.22%,"191,480"
308,A,0.93%,-3.23%,1.31%,-0.80%,-27.88%,-19.01%,2.04%,2.29%,-,1.47M,0.57,130.11,0.63%,"367,248"
309,FANG,-3.77%,12.36%,-12.48%,3.30%,83.80%,28.77%,3.49%,3.76%,1.90,2.99M,0.78,131.93,-1.55%,"1,022,893"
310,PKI,-3.02%,-14.00%,-11.18%,-23.26%,-30.60%,-34.25%,1.96%,2.49%,2.50,704.29K,0.57,132.46,0.20%,"175,736"
311,MRNA,-5.23%,-30.38%,-7.09%,2.86%,-68.78%,-48.78%,5.21%,5.01%,2.50,4.98M,1.01,133.41,2.56%,"2,189,311"
312,DTE,-1.72%,1.63%,-1.03%,3.22%,8.65%,9.75%,1.94%,1.43%,2.20,904.10K,0.65,134.04,2.16%,"255,857"
313,WMT,-0.41%,4.55%,5.98%,-6.59%,-11.33%,-8.54%,1.92%,1.84%,2.00,8.36M,0.63,134.45,1.59%,"2,287,446"
314,NUE,-3.66%,-1.60%,3.85%,1.93%,17.89%,17.78%,3.69%,2.83%,2.90,2.12M,0.51,134.74,0.22%,"473,004"
315,NVDA,-14.78%,-29.09%,-28.32%,-36.94%,-41.05%,-54.22%,5.07%,4.59%,2.00,53.08M,1.15,135.58,0.69%,"26,731,183"
316,PG,-4.28%,-6.28%,-6.67%,-11.26%,-5.85%,-17.09%,2.30%,1.55%,2.40,6.94M,0.59,136.72,0.80%,"1,799,649"
317,ABBV,1.39%,-0.33%,-6.10%,-7.94%,23.27%,1.62%,2.17%,1.83%,2.20,5.57M,0.61,137.92,0.24%,"1,477,988"
318,PKG,-1.23%,0.71%,-15.33%,-6.19%,-10.67%,0.02%,1.92%,1.75%,2.50,649.85K,0.68,138.54,1.73%,"192,174"
319,ETN,-1.60%,-6.86%,-2.05%,-5.03%,-16.78%,-19.88%,2.69%,1.96%,2.20,1.60M,0.93,139.60,0.82%,"651,584"
320,SJM,-2.37%,4.17%,12.47%,2.07%,14.94%,2.07%,2.15%,1.82%,3.30,855.24K,0.49,139.93,0.94%,"183,977"
322,DLTR,0.66%,-16.16%,-14.33%,-1.81%,49.02%,-1.57%,2.53%,2.78%,2.40,2.33M,0.90,142.00,2.67%,"914,850"
323,TMUS,-2.06%,-1.83%,3.46%,16.02%,4.35%,22.36%,2.16%,1.89%,1.80,4.15M,0.59,143.97,1.45%,"1,078,738"
324,CLX,-1.66%,2.68%,4.14%,-1.91%,-15.81%,-18.15%,2.36%,1.93%,3.50,1.21M,0.60,146.18,2.44%,"320,155"
325,RSG,-0.98%,1.52%,8.11%,12.57%,14.81%,3.30%,1.62%,1.52%,2.10,1.02M,1.29,146.57,1.75%,"572,111"
326,ABC,-1.00%,3.33%,-0.59%,0.81%,16.69%,9.88%,1.89%,2.06%,2.30,1.07M,0.35,147.07,0.72%,"162,512"
327,AXP,-3.84%,-5.66%,-11.03%,-6.62%,-6.72%,-9.17%,2.85%,1.98%,2.30,3.33M,0.34,150.10,1.01%,"498,489"
328,ADI,-4.48%,-16.37%,-10.31%,1.33%,-8.75%,-15.67%,2.87%,2.59%,1.90,3.32M,0.49,150.10,1.26%,"711,671"
329,FRC,-3.50%,-9.64%,-4.00%,-6.51%,-26.70%,-28.26%,2.58%,1.89%,2.30,1.03M,0.26,150.15,1.34%,"118,635"
330,AWK,-2.12%,-4.64%,-4.31%,-6.78%,-19.84%,-21.41%,2.65%,1.96%,2.70,755.06K,0.66,151.25,1.91%,"218,940"
331,BA,-7.88%,-7.66%,9.44%,-9.92%,-30.15%,-24.30%,3.90%,2.85%,-,8.67M,0.50,152.66,0.18%,"1,908,749"
332,WHR,-4.21%,-10.36%,-14.10%,-20.46%,-33.15%,-35.65%,2.79%,2.81%,2.90,885.40K,0.43,152.70,1.13%,"166,009"
333,CRM,-5.30%,-20.22%,-17.03%,-22.68%,-43.19%,-40.30%,3.18%,2.97%,1.80,6.31M,0.74,152.90,0.78%,"2,051,385"
334,ARE,-1.95%,-4.45%,-6.09%,-19.41%,-26.75%,-31.53%,2.18%,1.86%,1.70,1.12M,0.24,153.06,0.26%,"119,441"
335,CVX,-4.56%,2.27%,-11.15%,-3.04%,61.17%,33.89%,2.49%,2.06%,2.30,9.60M,0.88,153.90,-2.05%,"3,699,223"
336,AAPL,-4.24%,-6.54%,5.74%,-2.99%,0.15%,-12.98%,2.68%,1.92%,1.90,73.41M,1.07,154.84,0.20%,"34,235,236"
337,MAR,-2.15%,-2.96%,-14.21%,2.91%,14.56%,-7.79%,2.78%,2.20%,2.40,2.08M,0.73,155.01,1.73%,"661,425"
338,FFIV,-3.55%,-10.08%,-6.90%,-21.03%,-23.87%,-36.66%,2.36%,2.05%,2.70,505.36K,0.47,155.66,0.42%,"104,168"
339,PNC,-2.34%,-6.39%,-9.65%,-12.50%,-18.35%,-22.02%,2.22%,1.80%,2.50,1.84M,0.80,158.21,1.18%,"645,333"
340,TT,0.43%,1.41%,13.22%,8.29%,-21.72%,-22.53%,2.59%,2.06%,3.00,1.39M,0.44,158.32,1.15%,"265,962"
342,META,-0.40%,-5.13%,-18.38%,-15.43%,-57.86%,-52.86%,3.92%,3.23%,2.10,28.23M,0.61,158.64,0.06%,"7,548,715"
343,AIZ,-1.48%,2.17%,-13.39%,-5.70%,-6.87%,1.80%,2.02%,1.79%,1.80,435.86K,0.42,160.02,0.86%,"80,939"
344,GPC,0.15%,4.25%,12.70%,32.72%,28.82%,12.26%,1.64%,1.60%,2.80,839.30K,1.65,160.49,1.97%,"605,746"
345,NXPI,-3.09%,-11.51%,-10.70%,-5.29%,-24.53%,-29.43%,3.22%,3.20%,2.20,2.72M,0.32,162.68,1.20%,"378,552"
346,JNJ,0.11%,-4.63%,-7.49%,-5.24%,-6.78%,-4.61%,1.90%,1.48%,2.40,6.80M,0.63,163.40,0.13%,"1,874,285"
347,TRV,-2.10%,1.84%,-8.53%,-4.66%,1.70%,3.48%,1.92%,1.54%,2.80,1.16M,0.60,163.62,1.07%,"305,689"
348,MMC,-1.69%,-2.43%,2.27%,6.43%,1.30%,-7.05%,2.16%,1.53%,2.60,1.78M,0.44,163.77,1.36%,"345,923"
349,TXN,-2.88%,-11.50%,-2.78%,-1.09%,-14.10%,-13.46%,2.74%,2.34%,2.70,5.38M,0.79,166.13,1.86%,"1,861,252"
350,VMC,-2.85%,-4.42%,-1.39%,-3.39%,-8.82%,-20.80%,2.56%,2.00%,2.00,704.11K,0.43,167.03,1.59%,"133,712"
351,KEYS,-1.70%,-2.23%,11.53%,11.34%,-9.79%,-20.81%,2.20%,1.97%,2.00,855.30K,1.36,167.83,2.63%,"508,750"
352,ECL,-1.15%,-2.08%,-4.00%,2.84%,-27.59%,-30.50%,2.55%,2.00%,2.60,1.10M,1.17,167.97,3.03%,"565,313"
353,JBHT,-4.82%,-8.93%,-7.65%,-16.37%,-7.66%,-18.19%,2.93%,2.36%,2.10,704.13K,0.71,168.42,0.72%,"217,650"
354,BR,-3.43%,0.01%,15.49%,13.98%,-1.69%,-8.18%,2.41%,2.06%,2.90,480.50K,0.63,168.56,0.41%,"132,454"
355,MAA,-1.75%,-6.76%,-3.93%,-21.05%,-14.65%,-27.04%,2.45%,1.83%,2.40,585.71K,0.54,168.73,0.79%,"137,608"
356,TGT,3.08%,-1.53%,2.45%,-22.49%,-33.04%,-29.32%,2.80%,2.80%,2.10,4.81M,0.94,169.23,3.45%,"1,972,978"
357,CDNS,-4.01%,-10.04%,4.70%,11.58%,1.27%,-9.94%,2.72%,2.03%,2.00,1.58M,0.63,169.71,1.12%,"434,380"
358,CDW,-4.85%,-5.74%,-3.62%,2.38%,-16.44%,-17.29%,2.41%,2.16%,1.80,739.38K,0.41,170.83,0.86%,"132,998"
359,SBNY,-5.43%,-10.10%,-24.62%,-39.42%,-35.70%,-47.95%,3.29%,3.08%,1.60,869.10K,0.73,171.20,1.68%,"279,067"
360,CCI,-2.43%,-5.14%,-8.42%,-4.27%,-14.75%,-18.93%,2.43%,2.01%,2.40,1.51M,0.62,171.62,1.41%,"411,337"
362,SRE,-0.27%,5.03%,4.13%,9.81%,25.80%,26.87%,2.10%,1.49%,2.10,1.42M,0.75,172.25,2.63%,"464,577"
363,WM,-1.50%,0.20%,7.10%,8.54%,8.85%,1.35%,1.43%,1.32%,2.40,1.50M,1.08,172.35,1.89%,"709,331"
364,AAP,1.64%,-10.38%,-9.12%,-13.89%,-13.09%,-27.74%,2.40%,2.38%,2.20,765.81K,0.50,177.89,2.62%,"168,112"
